import time: self [us] | cumulative | imported package
import time:       288 |        288 |     uvicorn.middleware.message_logger
import time:       791 |        791 |       ipaddress
import time:       219 |       1009 |     uvicorn.middleware.proxy_headers
import time:        28 |         28 |       a2wsgi
import time:       261 |        289 |     uvicorn.middleware.wsgi
import time:       556 |      37859 |   uvicorn.config
import time:        27 |         27 |       _wmi
import time:       498 |        524 |     platform
import time:       165 |        165 |         email
import time:       153 |        153 |           urllib
import time:       540 |        693 |         urllib.parse
import time:       270 |        270 |         email._parseaddr
import time:       444 |       1570 |       email.utils
import time:       302 |       1871 |     uvicorn.server
import time:       265 |        265 |               multiprocessing.process
import time:       249 |        249 |               multiprocessing.reduction
import time:       347 |        860 |             multiprocessing.context
import time:       189 |       1049 |           multiprocessing
import time:        34 |         34 |                 zlib
import time:       196 |        196 |                   _compression
import time:        14 |         14 |                   _bz2
import time:       108 |        317 |                 bz2
import time:        20 |         20 |                   _lzma
import time:       108 |        128 |                 lzma
import time:       355 |        833 |               shutil
import time:        12 |         12 |                   _bisect
import time:       172 |        183 |                 bisect
import time:        11 |         11 |                 _random
import time:       373 |        566 |               random
import time:       299 |       1697 |             tempfile
import time:       243 |        243 |             multiprocessing.util
import time:        19 |         19 |             _multiprocessing
import time:        24 |         24 |             _winapi
import time:       358 |       2339 |           multiprocessing.connection
import time:       110 |       3497 |         uvicorn._subprocess
import time:       330 |       3826 |       uvicorn.supervisors.basereload
import time:       224 |        224 |       uvicorn.supervisors.multiprocess
import time:       577 |        577 |           watchfiles.filters
import time:       396 |        396 |                 anyio._core
import time:       399 |        795 |               anyio._core._contextmanagers
import time:       217 |        217 |                   sniffio._version
import time:       188 |        188 |                   sniffio._impl
import time:       300 |        704 |                 sniffio
import time:       174 |        878 |               anyio._core._eventloop
import time:       704 |        704 |               anyio._core._exceptions
import time:       392 |        392 |                 dataclasses
import time:       417 |        417 |                     anyio.abc._eventloop
import time:       180 |        180 |                     anyio.abc._resources
import time:       168 |        168 |                       anyio._core._typedattr
import time:       275 |        275 |                         anyio.abc._tasks
import time:       457 |        731 |                       anyio.abc._streams
import time:       446 |       1344 |                     anyio.abc._sockets
import time:       210 |        210 |                     anyio.abc._subprocesses
import time:       131 |        131 |                     anyio.abc._testing
import time:       512 |        512 |                       anyio.lowlevel
import time:       259 |        259 |                       anyio._core._tasks
import time:        73 |         73 |                       anyio._core._testing
import time:      1736 |       2580 |                     anyio._core._synchronization
import time:       515 |        515 |                     anyio.from_thread
import time:       230 |       5604 |                   anyio.abc
import time:       173 |       5776 |                 anyio.to_thread
import time:       596 |       6764 |               anyio._core._fileio
import time:        77 |         77 |               anyio._core._resources
import time:        76 |         76 |               anyio._core._signals
import time:        58 |         58 |                   anyio.streams
import time:       491 |        549 |                 anyio.streams.stapled
import time:       516 |        516 |                 anyio.streams.tls
import time:       560 |       1624 |               anyio._core._sockets
import time:       710 |        710 |                 anyio.streams.memory
import time:        93 |        802 |               anyio._core._streams
import time:       219 |        219 |               anyio._core._subprocesses
import time:       258 |        258 |               anyio._core._tempfile
import time:       327 |      12518 |             anyio
import time:      1999 |       1999 |             watchfiles._rust_notify
import time:       488 |      15004 |           watchfiles.main
import time:       263 |        263 |             shlex
import time:       393 |        656 |           watchfiles.run
import time:        63 |         63 |           watchfiles.version
import time:       400 |      16698 |         watchfiles
import time:       188 |      16885 |       uvicorn.supervisors.watchfilesreload
import time:       295 |      21229 |     uvicorn.supervisors
import time:       630 |      24253 |   uvicorn.main
import time:       559 |      62670 | uvicorn
