import time: self [us] | cumulative | imported package
import time:        61 |         61 |     uvicorn.middleware.message_logger
import time:       546 |        546 |       ipaddress
import time:        66 |        612 |     uvicorn.middleware.proxy_headers
import time:        29 |         29 |       a2wsgi
import time:        88 |        116 |     uvicorn.middleware.wsgi
import time:       232 |      20907 |   uvicorn.config
import time:        24 |         24 |       _wmi
import time:       258 |        282 |     platform
import time:        59 |         59 |         email
import time:        46 |         46 |           urllib
import time:       345 |        390 |         urllib.parse
import time:        94 |         94 |         email._parseaddr
import time:       303 |        845 |       email.utils
import time:       104 |        949 |     uvicorn.server
import time:       132 |        132 |               multiprocessing.process
import time:       102 |        102 |               multiprocessing.reduction
import time:       181 |        414 |             multiprocessing.context
import time:        74 |        487 |           multiprocessing
import time:        34 |         34 |                 zlib
import time:        78 |         78 |                   _compression
import time:        13 |         13 |                   _bz2
import time:        84 |        173 |                 bz2
import time:        22 |         22 |                   _lzma
import time:        97 |        119 |                 lzma
import time:       266 |        591 |               shutil
import time:        16 |         16 |                   _bisect
import time:        73 |         88 |                 bisect
import time:        18 |         18 |                 _random
import time:       343 |        448 |               random
import time:       174 |       1212 |             tempfile
import time:       162 |        162 |             multiprocessing.util
import time:        20 |         20 |             _multiprocessing
import time:        29 |         29 |             _winapi
import time:       196 |       1616 |           multiprocessing.connection
import time:        68 |       2171 |         uvicorn._subprocess
import time:       102 |       2272 |       uvicorn.supervisors.basereload
import time:       126 |        126 |       uvicorn.supervisors.multiprocess
import time:       195 |        195 |           watchfiles.filters
import time:        82 |         82 |                 anyio._core
import time:       196 |        277 |               anyio._core._contextmanagers
import time:        66 |         66 |                   sniffio._version
import time:        74 |         74 |                   sniffio._impl
import time:        73 |        213 |                 sniffio
import time:        76 |        288 |               anyio._core._eventloop
import time:       119 |        119 |               anyio._core._exceptions
import time:       269 |        269 |                 dataclasses
import time:       328 |        328 |                     anyio.abc._eventloop
import time:        64 |         64 |                     anyio.abc._resources
import time:        66 |         66 |                       anyio._core._typedattr
import time:        95 |         95 |                         anyio.abc._tasks
import time:       287 |        381 |                       anyio.abc._streams
import time:       226 |        672 |                     anyio.abc._sockets
import time:        70 |         70 |                     anyio.abc._subprocesses
import time:        60 |         60 |                     anyio.abc._testing
import time:       434 |        434 |                       anyio.lowlevel
import time:        97 |         97 |                       anyio._core._tasks
import time:        59 |         59 |                       anyio._core._testing
import time:      1086 |       1673 |                     anyio._core._synchronization
import time:       301 |        301 |                     anyio.from_thread
import time:       106 |       3271 |                   anyio.abc
import time:        66 |       3336 |                 anyio.to_thread
import time:       304 |       3909 |               anyio._core._fileio
import time:        51 |         51 |               anyio._core._resources
import time:        43 |         43 |               anyio._core._signals
import time:        41 |         41 |                   anyio.streams
import time:       329 |        370 |                 anyio.streams.stapled
import time:       324 |        324 |                 anyio.streams.tls
import time:       324 |       1017 |               anyio._core._sockets
import time:       586 |        586 |                 anyio.streams.memory
import time:        73 |        658 |               anyio._core._streams
import time:        69 |         69 |               anyio._core._subprocesses
import time:       136 |        136 |               anyio._core._tempfile
import time:       144 |       6706 |             anyio
import time:       571 |        571 |             watchfiles._rust_notify
import time:       335 |       7610 |           watchfiles.main
import time:       115 |        115 |             shlex
import time:       193 |        308 |           watchfiles.run
import time:        45 |         45 |           watchfiles.version
import time:        88 |       8244 |         watchfiles
import time:        90 |       8333 |       uvicorn.supervisors.watchfilesreload
import time:        64 |      10793 |     uvicorn.supervisors
import time:       448 |      12471 |   uvicorn.main
import time:        76 |      33453 | uvicorn
